OLIGOTYPE,PHYLUM,NUM_BEST_HITS,BEST_PCT_ID,BEST_FULL_PCT_ID,HMTs,BODY_SITE,Assign_reads_to,Notes,HOMD_SPECIES,STRAIN_CLONE,HOMD_REFSEQ_ID,GB_NCBI_ID,HOMD_STATUS,
V3V5_136_Bacteroidetes,Bacteroidetes,4,100,100,"HMT-323,HMT-412,HMT-336,HMT-324","SUBP,SUPP","25,25,25,25","Reads equally close to C. sp. HMT 323, 324, 336, and 412 were assigned one-fourth to each taxon.","Capnocytophaga sp. HMT 323,Capnocytophaga sp. HMT 412,Capnocytophaga sp. HMT 336,Capnocytophaga sp. HMT 324","Clone: 071057_454,Clone: C2MKM106,Strain: F0502,Clone: AA032","323_2733,412_8613,336F0502,324AA032","JQ472733,AY278613,tbd,AY005079","Unnamed,Unnamed,Unnamed,Unnamed",
V3V5_292_Bacteroidetes,Bacteroidetes,4,99.587,99.587,"HMT-323,HMT-412,HMT-336,HMT-324","SUBP,SUPP","25,25,25,25",,"Capnocytophaga sp. HMT 323,Capnocytophaga sp. HMT 412,Capnocytophaga sp. HMT 336,Capnocytophaga sp. HMT 324","Clone: 071057_454,Clone: C2MKM106,Strain: F0502,Clone: AA032","323_2733,412_8613,336F0502,324AA032","JQ472733,AY278613,tbd,AY005079","Unnamed,Unnamed,Unnamed,Unnamed",
V3V5_285_Actinobacteria,Actinobacteria,2,99.174,99.174,"HMT-072,HMT-062","HP,TD","50,50",Reads equally close to C. simulans and C. striatum were assigned half to each taxon.,"Corynebacterium striatum,Corynebacterium simulans","Strain: Minnett,Strain: UCL553","072N044A,062N042A","NR_037041,NR_025309","Named,Named",
V3V5_153_Firmicutes,Firmicutes,2,100,100,"HMT-106,HMT-377,HMT-377","SUBP,SUPP","50,50",Reads equally close to HMT 106 and 377 were assigned half to each taxon.,"Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka,Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsps. yurii & margaretiae,Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsps. yurii & margaretiae","Strain: A03MT,Strain: ATCC 43715,Strain: ATCC 43713","106A03MT,377_5259,377_4629","AF287765,NR_115259,L34629","Named,Named,Named",
V3V5_247_Firmicutes,Firmicutes,3,98.361,98.361,"HMT-106,HMT-377,HMT-377,HMT-081,HMT-081","HP,PT,SV,TD,TH","33.3333,33.3333,33.3333","Reads equally close to HMT 081, 106, and 377 were assigned one-third to each taxon.","Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsp. schtitka,Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsps. yurii & margaretiae,Peptostreptococcaceae [XI][G-7] [Eubacterium] yurii subsps. yurii & margaretiae,Peptostreptococcaceae [XI][G-7] bacterium HMT 081,Peptostreptococcaceae [XI][G-7] bacterium HMT 081","Strain: A03MT,Strain: ATCC 43715,Strain: ATCC 43713,Strain: W5028,Clone: BB142","106A03MT,377_5259,377_4629,081W5028,081BB142","AF287765,NR_115259,L34629,tbd,AF287764","Named,Named,Named,Unnamed,Unnamed",
V3V5_314_Fusobacteria,Fusobacteria,2,100,100,"HMT-690,HMT-860",PT,"50,50",Reads equally close to F. gonidiaformans and F. necrophorum were assigned half to each taxon.,"Fusobacterium necrophorum,Fusobacterium gonidiaformans","Strain: D4,Strain: VE32H03","690_4948,860_9686","AF044948,GQ179686","Named,Named",
V3V5_021_Fusobacteria,Fusobacteria,2,100,100,"HMT-200,HMT-200,HMT-200,HMT-689",SUBP,"50,50",Reads equally close to F. nucleatum subsp. naviforme and F. nucleatum subsp. vincentii were assigned half to each taxon.,"Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium nucleatum subsp. vincentii,Fusobacterium naviforme","Clone: AJ050,Clone: 071075_343,Strain: ATCC 49256,Strain: DMS 20699","200AJ050,200_7962,200_0026,689_6965","AF287805,JQ477962,NZ_AABF02000026,AJ006965","Named,Named,Named,Named",
V3V5_016_Fusobacteria,Fusobacteria,3,100,100,"HMT-698,HMT-203,HMT-203,HMT-203,HMT-202","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to F. nucleatum subsp. nucleatum,F. nucleatum subsp. polymorphum, and F. sp. HMT 203 were assigned one-third to each taxon.","Fusobacterium nucleatum subsp. nucleatum,Fusobacterium sp. HMT 203,Fusobacterium sp. HMT 203,Fusobacterium sp. HMT 203,Fusobacterium nucleatum subsp. polymorphum","Strain: ATCC 25586,Clone: _I035,Clone: CY024,Clone: FV003,Strain: ATCC 10953","698_3496,203_I035,203CY024,203FV003,202_7812","AJ133496,AF287815,AF287809,GQ422730,AF287812","Named,Unnamed,Unnamed,Unnamed,Named",
V3V5_093_Fusobacteria,Fusobacteria,2,100,100,"HMT-953,HMT-370","SUBP,SUPP","50,50",Reads equally close to F. hwasookii and F. sp. HMT 370 were assigned half to each taxon.,"Fusobacterium hwasookii,Fusobacterium sp. HMT 370","Strain: ChDC F128,Strain: E9_12","953_0020,370_1217","ALVD01000020,AF481217","Named,Unnamed",
V3V5_284_Fusobacteria,Fusobacteria,3,100,99.617,"HMT-953,HMT-370,HMT-201","PT,SUBP,TH","33.3333,33.3333,33.3333","Reads equally close to F. hwasookii, F. periodonticum, and F. sp. HMT 370 were assigned one-third to each taxon.","Fusobacterium hwasookii,Fusobacterium sp. HMT 370,Fusobacterium periodonticum","Strain: ChDC F128,Strain: E9_12,Strain: ATCC 33693","953_0020,370_1217,201_5405","ALVD01000020,AF481217,X55405","Named,Unnamed,Named",
V3V5_012_Firmicutes,Firmicutes,3,100,100,"HMT-757,HMT-626,HMT-046,HMT-046","BM,HP,KG","33.3333,33.3333,33.3333","Reads equally close to G. haemolysans, G. morbillorum, and G. sanguinis were assigned one-third to each taxon.","Gemella sanguinis,Gemella haemolysans,Gemella morbillorum,Gemella morbillorum","Strain: C24KA,Strain: ATCC 10379,Strain: ATCC 27824,Strain: 933-88","757C24KA,626_4326,046_4327,046_3366","AY005051,L14326,L14327,Y13366","Named,Named,Named,Named",
V3V5_236_Firmicutes,Firmicutes,3,99.597,99.597,"HMT-757,HMT-626,HMT-046,HMT-046",BM,"33.3333,33.3333,33.3333",,"Gemella sanguinis,Gemella haemolysans,Gemella morbillorum,Gemella morbillorum","Strain: C24KA,Strain: ATCC 10379,Strain: ATCC 27824,Strain: 933-88","757C24KA,626_4326,046_4327,046_3366","AY005051,L14326,L14327,Y13366","Named,Named,Named,Named",
V3V5_010_Firmicutes,Firmicutes,2,100,100,"HMT-534,HMT-534,HMT-596,HMT-596","BM,HP,KG,PT,SV,TD,TH","50,50",Reads equally close to G. adiacens and G. elegans were assigned half to each taxon.,"Granulicatella adiacens,Granulicatella adiacens,Granulicatella elegans,Granulicatella elegans","Strain: TKT1,Strain: ATCC 49175,Strain: 2640-91,Clone: ncd32a06c1","534_2027,534_0540,596_5408,596_2532","AB022027,D50540,Y15408,HM252532","Named,Named,Named,Named",
V3V5_228_Gammaproteobacteria,Gammaproteobacteria,3,100,100,"HMT-641,HMT-535,HMT-641,HMT-259,HMT-259",TH,"33.3333,33.3333,33.3333","Reads equally close to H. aegyptius, H. influenzae, and H. sp. HMT 259 were assigned one-third to each taxon.","Haemophilus influenzae,Haemophilus aegyptius,Haemophilus influenzae,Haemophilus sp. HMT 259,Haemophilus sp. HMT 259","Clone: ncd2740e04c1,Strain: NCTC 8502,Strain: M3669,Clone: ncd2419h01c1,Clone: M10127","641N000B,535_5044,641_3619,259N116A,259N116B","JF236380,M75044,AY613619,JF210233,AY613546","Named,Named,Named,Phylotype,Phylotype",
V3V5_015_Gammaproteobacteria,Gammaproteobacteria,2,100,100,"HMT-908,HMT-908,HMT-851",KG,"50,50",Reads equally close to H. haemolyticus and H. sp. HMT 908 were assigned half to each taxon.,"Haemophilus sp. HMT 908,Haemophilus sp. HMT 908,Haemophilus haemolyticus","Clone: ELU0149-000192,Clone: AL159,Strain: F0397","908_1362,908-Wade,851F0397","HQ801362,JQ406529,HM596277","Phylotype,Phylotype,Named",
V3V5_254_Gammaproteobacteria,Gammaproteobacteria,2,99.573,99.573,"HMT-908,HMT-908,HMT-851",PT,"50,50",,"Haemophilus sp. HMT 908,Haemophilus sp. HMT 908,Haemophilus haemolyticus","Clone: ELU0149-000192,Clone: AL159,Strain: F0397","908_1362,908-Wade,851F0397","HQ801362,JQ406529,HM596277","Phylotype,Phylotype,Named",
V3V5_270_Gammaproteobacteria,Gammaproteobacteria,3,99.573,99.573,"HMT-898,HMT-908,HMT-908,HMT-851",KG,"33.3333,33.3333,33.3333","Reads equally close to H. haemolyticus, H. sp. HMT 908, and Aggregatibacter sp. HMT 898 were assigned one-third to each taxon.","Aggregatibacter sp. HMT 898,Haemophilus sp. HMT 908,Haemophilus sp. HMT 908,Haemophilus haemolyticus","Clone: ncd1799g05c1,Clone: ELU0149-000192,Clone: AL159,Strain: F0397","898_5716,908_1362,908-Wade,851F0397","JF155716,HQ801362,JQ406529,HM596277","Phylotype,Phylotype,Phylotype,Named",
V3V5_169_Betaproteobacteria,Betaproteobacteria,3,100,100,"HMT-011,HMT-582,HMT-932","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to K. denitrificans, K. sp. HMT 932, and Eikenella sp. HMT 011 were assigned one-third to each taxon.","Eikenella sp. HMT 011,Kingella denitrificans,Kingella sp. HMT 932","Strain: UB-204,Strain: UB-294,Clone: ELU0155-000287","011_6165,582_6166,932_4648","L06165,L06166,HQ804648","Lost,Named,Phylotype",
V3V5_076_Firmicutes,Firmicutes,2,99.6,99.6,"HMT-107,HMT-082,HMT-082","HP,PT,SV,TD,TH","50,50",Reads equally close to L. orale and L. umeanse were assigned half to each taxon.,"Lachnoanaerobaculum umeaense,Lachnoanaerobaculum orale,Lachnoanaerobaculum orale","Strain: F0167,Clone: BE088,Strain: F0431","107F0167,082BE088,082F0431","tbd,AF385552,tbd","Named,Named,Named",
V3V5_276_Firmicutes,Firmicutes,2,99.2,99.2,"HMT-107,HMT-082,HMT-082","PT,TD,TH","50,50",,"Lachnoanaerobaculum umeaense,Lachnoanaerobaculum orale,Lachnoanaerobaculum orale","Strain: F0167,Clone: BE088,Strain: F0431","107F0167,082BE088,082F0431","tbd,AF385552,tbd","Named,Named,Named",
V3V5_087_Firmicutes,Firmicutes,2,100,100,"HMT-419,HMT-910","PT,TD,TH","50,50",Reads equally close to S. longum and S. sp. HMT 910 were assigned half to each taxon.,"Stomatobaculum longum,Stomatobaculum sp. HMT 910","Clone: C4ALM087,Clone: CL133","419_8618,910-Wade","AY278618,JQ406544","Named,Phylotype",
V3V5_106_Firmicutes,Firmicutes,3,99.598,99.598,"HMT-097,HMT-419,HMT-910","HP,PT,SV,TD,TH","33.3333,33.3333,33.3333","Reads equally close to S. longum, S. sp. HMT 097, and S. sp. HMT 910 were assigned one-third to each taxon.","Stomatobaculum sp. HMT 097,Stomatobaculum longum,Stomatobaculum sp. HMT 910","Clone: DO016,Clone: C4ALM087,Clone: CL133","097DO016,419_8618,910-Wade","AF385510,AY278618,JQ406544","Unnamed,Named,Phylotype",
V3V5_126_Fusobacteria,Fusobacteria,2,100,100,"HMT-909,HMT-224",SUPP,"50,50",Reads equally close to L. hofstadii and L. sp. HMT 909 were assigned half to each taxon.,"Leptotrichia sp. HMT 909,Leptotrichia hofstadii","Clone: CP4_C6,Strain: FAC5","909-Wade,224_7813","KC203062,AF287813","Phylotype,Named",
V3V5_185_Fusobacteria,Fusobacteria,2,100,98.855,"HMT-909,HMT-224","SUBP,SUPP","50,50",,"Leptotrichia sp. HMT 909,Leptotrichia hofstadii","Clone: CP4_C6,Strain: FAC5","909-Wade,224_7813","KC203062,AF287813","Phylotype,Named",
V3V5_261_Fusobacteria,Fusobacteria,2,99.618,99.618,"HMT-417,HMT-463","PT,TD,TH","50,50",Reads equally close to L. sp. HMT 417 and 463 were assigned half to each taxon.,"Leptotrichia sp. HMT 417,Leptotrichia sp. HMT 463","Clone: C3MKM102,Clone: GT020","417_8621,463GT020","AY278621,AY349385","Unnamed,Phylotype",
V3V5_178_Fusobacteria,Fusobacteria,2,99.237,99.237,"HMT-212,HMT-217","SUBP,SUPP","50,50",Reads equally close to L. sp. HMT 212 and 217 were assigned half to each taxon.,"Leptotrichia sp. HMT 212,Leptotrichia sp. HMT 217","Clone: BU064,Clone: DT031","212BU064,217DT031","AY008309,AF366276","Unnamed,Phylotype",
V3V5_151_Gammaproteobacteria,Gammaproteobacteria,2,100,100,"HMT-833,HMT-098,HMT-098",TH,"50,50",Reads equally close to M. catarrhalis and M. nonliquefaciens were assigned half to each taxon.,"Moraxella catarrhalis,Moraxella nonliquefaciens,Moraxella nonliquefaciens","Strain: ATCC 25238,Clone: ncd1018e10c1,Strain: 4663/62","833_0876,098N062C,098N062A","U10876,HM341635,NR_104938","Named,Named,Named",
V3V5_005_Betaproteobacteria,Betaproteobacteria,3,100,100,"HMT-101,HMT-610,HMT-476","HP,PT,SV,TD,TH","33.3333,33.3333,33.3333","Reads equally close to N. flavescens, N. perflava, and N. subflava were assigned one-third to each taxon.","Neisseria perflava,Neisseria flavescens,Neisseria subflava","Strain: Branham 7078,Clone: P1D1-762,Strain: U37","101N065A,610_1998,476_9291","NR_117694,EF511998,AJ239291","Named,Named,Named",
V3V5_050_Betaproteobacteria,Betaproteobacteria,4,99.576,99.576,"HMT-609,HMT-764,HMT-099,HMT-682","SUBP,SUPP","25,25,25,25","Reads equally close to N. flava, N. macacae, N. mucosa, and N. sicca were assigned one-fourth to each taxon.","Neisseria flava,Neisseria sicca,Neisseria macacae,Neisseria mucosa","Strain: U40,Strain: Q13,Strain: M-740,Strain: LNP405","609_9301,764_9292,099N064A,682_9282","AJ239301,AJ239292,NR_117701,AJ239282","Named,Named,Named,Named",
V3V5_020_Betaproteobacteria,Betaproteobacteria,4,100,100,"HMT-609,HMT-764,HMT-099,HMT-682","BM,SUBP,SUPP,SV","25,25,25,25",,"Neisseria flava,Neisseria sicca,Neisseria macacae,Neisseria mucosa","Strain: U40,Strain: Q13,Strain: M-740,Strain: LNP405","609_9301,764_9292,099N064A,682_9282","AJ239301,AJ239292,NR_117701,AJ239282","Named,Named,Named,Named",
V3V5_092_Firmicutes,Firmicutes,2,99.197,99.197,"HMT-934,HMT-457","HP,PT,SV,TD,TH","50,50",Reads equally close to O. parvum and O. sinus were assigned half to each taxon.,"Oribacterium parvum,Oribacterium sinus","Strain: ACB1,Strain: F0268","934_5570,457F0268","NR_125570,FJ577261","Named,Named",
V3V5_033_Firmicutes,Firmicutes,2,100,100,"HMT-934,HMT-457","HP,PT,SV,TD,TH","50,50",,"Oribacterium parvum,Oribacterium sinus","Strain: ACB1,Strain: F0268","934_5570,457F0268","NR_125570,FJ577261","Named,Named",
V3V5_070_Firmicutes,Firmicutes,3,100,100,"HMT-111,HMT-111,HMT-110,HMT-110,HMT-393","PT,SUBP","33.3333,33.3333,33.3333","Reads equally close to P. micra, P. sp. HMT 110, and P. sp. HMT 393 were assigned one-third to each taxon.","Parvimonas micra,Parvimonas micra,Parvimonas sp. HMT 110,Parvimonas sp. HMT 110,Parvimonas sp. HMT 393","Clone: BS044,Strain: ATCC 33270,Strain: MDA2346-2,Clone: HE064,Strain: P4P_31","111BS044,111_3523,110_6545,110HE064,393_7059","AF385559,AY323523,AY286545,GQ422714,AY207059","Named,Named,Unnamed,Unnamed,Unnamed",
V3V5_144_Firmicutes,Firmicutes,2,100,100,"HMT-112,HMT-112,HMT-542","HP,PT,SV,TH","50,50",Reads equally close to P. anaerobius and P. stomatis were assigned half to each taxon.,"Peptostreptococcus stomatis,Peptostreptococcus stomatis,Peptostreptococcus anaerobius","Strain: A21H2,Clone: CK035,Strain: NCTC 11460","112A21H2,112CK035,542_6462","GQ422715,AF287763,AY326462","Named,Named,Named",
V3V5_040_Bacteroidetes,Bacteroidetes,4,100,100,"HMT-283,HMT-283,HMT-284,HMT-277,HMT-275","SUBP,SUPP","25,25,25,25","Reads equally close to P. catoniae and P. sp. HMT 275, 277, and 284 were assigned one-fourth to each taxon.","Porphyromonas catoniae,Porphyromonas catoniae,Porphyromonas sp. HMT 284,Porphyromonas sp. HMT 277,Porphyromonas sp. HMT 275","Strain: ATCC 51270,Clone: DS033,Clone: EP003,Clone: BR037,Clone: AW032","283_2823,283DS033,284EP003,277BR037,275AW032","X82823,AF366271,AY008313,AF385555,AF393476","Named,Named,Lost,Phylotype,Phylotype",
V3V5_258_Bacteroidetes,Bacteroidetes,4,99.587,99.587,"HMT-283,HMT-283,HMT-284,HMT-277,HMT-275","SUBP,SUPP","25,25,25,25",,"Porphyromonas catoniae,Porphyromonas catoniae,Porphyromonas sp. HMT 284,Porphyromonas sp. HMT 277,Porphyromonas sp. HMT 275","Strain: ATCC 51270,Clone: DS033,Clone: EP003,Clone: BR037,Clone: AW032","283_2823,283DS033,284EP003,277BR037,275AW032","X82823,AF366271,AY008313,AF385555,AF393476","Named,Named,Lost,Phylotype,Phylotype",
V3V5_007_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-278,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279","BM,HP,PT,SV,TD,TH","50,50",Reads equally close to P. pasteri and P. sp. HMT 278 were assigned half to each taxon.,"Porphyromonas sp. HMT 278,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri","Clone: BS045,Strain: F0450d,Strain: F0450c,Clone: CW034,Clone: DP023,Strain: F0450a,Strain: F0450b","278BS045,279F450d,279F450c,279CW034,279DP023,279F450a,279F450b","AF385560,tbd,tbd,AY008310,AF385516,tbd,tbd","Unnamed,Named,Named,Named,Named,Named,Named",
V3V5_075_Bacteroidetes,Bacteroidetes,2,99.587,99.587,"HMT-278,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279","BM,HP,PT,SV,TD,TH","50,50",,"Porphyromonas sp. HMT 278,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri","Clone: BS045,Strain: F0450d,Strain: F0450c,Clone: CW034,Clone: DP023,Strain: F0450a,Strain: F0450b","278BS045,279F450d,279F450c,279CW034,279DP023,279F450a,279F450b","AF385560,tbd,tbd,AY008310,AF385516,tbd,tbd","Unnamed,Named,Named,Named,Named,Named,Named",
V3V5_338_Bacteroidetes,Bacteroidetes,2,99.587,99.587,"HMT-278,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279,HMT-279","BM,SUPP,SV","50,50",,"Porphyromonas sp. HMT 278,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri,Porphyromonas pasteri","Clone: BS045,Strain: F0450d,Strain: F0450c,Clone: CW034,Clone: DP023,Strain: F0450a,Strain: F0450b","278BS045,279F450d,279F450c,279CW034,279DP023,279F450a,279F450b","AF385560,tbd,tbd,AY008310,AF385516,tbd,tbd","Unnamed,Named,Named,Named,Named,Named,Named",
V3V5_030_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-306,HMT-298","PT,SV,TD,TH","50,50",Reads equally close to P. histicola and P. sp. HMT 306 were assigned half to each taxon.,"Prevotella sp. HMT 306,Prevotella histicola","Clone: DO027,Clone: BE073","306DO027,298BE073","AF385511,AF385551","Unnamed,Named",
V3V5_071_Bacteroidetes,Bacteroidetes,2,99.585,99.585,"HMT-306,HMT-298","HP,PT,SV,TD,TH","50,50",,"Prevotella sp. HMT 306,Prevotella histicola","Clone: DO027,Clone: BE073","306DO027,298BE073","AF385511,AF385551","Unnamed,Named",
V3V5_082_Bacteroidetes,Bacteroidetes,2,99.585,99.585,"HMT-306,HMT-298","HP,PT,SV,TD,TH","50,50",,"Prevotella sp. HMT 306,Prevotella histicola","Clone: DO027,Clone: BE073","306DO027,298BE073","AF385511,AF385551","Unnamed,Named",
V3V5_008_Bacteroidetes,Bacteroidetes,4,100,100,"HMT-885,HMT-469,HMT-313,HMT-314","HP,PT,SV,TD,TH","25,25,25,25","Reads equally close to P. melaninogenica, P. scopos, and P. sp. HMT 313 and 314 were assigned one-fourth to each taxon.","Prevotella scopos,Prevotella melaninogenica,Prevotella sp. HMT 313,Prevotella sp. HMT 314","Strain: JCM 17725,Strain: ATCC 25845,Clone: 069104_177,Clone: FU048","885_3253,469_3525,313_9254,314FU048","AB683253,AY323525,JQ449254,AY349393","Named,Named,Unnamed,Unnamed",
V3V5_097_Bacteroidetes,Bacteroidetes,2,99.585,99.585,"HMT-306,HMT-298","PT,SV,TD,TH","50,50",,"Prevotella sp. HMT 306,Prevotella histicola","Clone: DO027,Clone: BE073","306DO027,298BE073","AF385511,AF385551","Unnamed,Named",
V3V5_240_Bacteroidetes,Bacteroidetes,2,99.585,99.585,"HMT-472,HMT-658,HMT-472","SUBP,SUPP","50,50",Reads equally close to P. loescheii and P. sp. HMT 472 were assigned half to each taxon.,"Prevotella sp. HMT 472,Prevotella loescheii,Prevotella sp. HMT 472","Clone: GU027,Strain: ATCC 15930,Clone: 070034_820","472GU027,658_6481,472_2261","AY349398,L16481,JQ462261","Unnamed,Named,Unnamed",
V3V5_274_Bacteroidetes,Bacteroidetes,2,98.76,98.76,"HMT-396,HMT-305",SV,"50,50",Reads equally close to P. sp. HMT 305 and 396 were assigned half to each taxon.,"Prevotella sp. HMT 396,Prevotella sp. HMT 305","Clone: P4PB_83,Clone: 070055_034","396_7050,305_0424","AY207050,JQ460424","Phylotype,Phylotype",
V3V5_173_Bacteroidetes,Bacteroidetes,3,100,100,"HMT-292,HMT-292,HMT-300,HMT-300,HMT-293","SUBP,SUPP,SV","33.3333,33.3333,33.3333","Reads equally close to P. sp. HMT 292, 293, and 300 were assigned one-third to each taxon.","Prevotella sp. HMT 292,Prevotella sp. HMT 292,Prevotella sp. HMT 300,Prevotella sp. HMT 300,Prevotella sp. HMT 293","Clone: AU120,Clone: AH125,Clone: ncd2142e01c1,Clone: BR014,Clone: AO009","292AU120,292AH125,300_0563,300BR014,293AO009","GQ422735,AY005060,JF180563,AF385554,AY005059","Phylotype,Phylotype,Phylotype,Phylotype,Phylotype",
V3V5_029_Bacteroidetes,Bacteroidetes,2,100,100,"HMT-572,HMT-313","HP,PT,SV,TD,TH","50,50",Reads equally close to P. veroralis and P. sp. HMT 313 were assigned half to each taxon.,"Prevotella veroralis,Prevotella sp. HMT 313","Strain: ATCC 33779,Clone: FM005","572_6473,313FM005","L16473,AF432133","Named,Unnamed",
V3V5_324_Bacteroidetes,Bacteroidetes,2,99.585,99.585,"HMT-572,HMT-313","HP,SV,TD,TH","50,50",,"Prevotella veroralis,Prevotella sp. HMT 313","Strain: ATCC 33779,Clone: FM005","572_6473,313FM005","L16473,AF432133","Named,Unnamed",
V3V5_138_Actinobacteria,Actinobacteria,2,100,100,"HMT-739,HMT-194","SUBP,SUPP","50,50",Reads equally close to A. propionica and A. rubra were assigned half to each taxon.,"Arachnia propionica,Arachnia rubra","Strain: DSM 43307,Clone: BN085","739_5953,194BN085","AJ315953,AF287757","Named,Phylotype",
V3V5_192_Actinobacteria,Actinobacteria,2,99.588,99.588,"HMT-739,HMT-194","SUBP,SUPP","50,50",,"Arachnia propionica,Arachnia rubra","Strain: DSM 43307,Clone: BN085","739_5953,194BN085","AJ315953,AF287757","Named,Phylotype",
V3V5_024_Actinobacteria,Actinobacteria,2,100,100,"HMT-587,HMT-681","BM,HP,SUBP,SUPP,TD","50,50",Reads equally close to R. dentocariosa and R. mucilaginosa were assigned half to each taxon.,"Rothia dentocariosa,Rothia mucilaginosa","Strain: ATCC 17931,Strain: DY-18","587_9055,681_4690","M59055,NR_074690","Named,Named",
V3V5_128_Actinobacteria,Actinobacteria,2,99.177,99.177,"HMT-587,HMT-681","HP,PT,TD,TH","50,50",,"Rothia dentocariosa,Rothia mucilaginosa","Strain: ATCC 17931,Strain: DY-18","587_9055,681_4690","M59055,NR_074690","Named,Named",
V3V5_053_Firmicutes,Firmicutes,16,100,100,"HMT-138,HMT-639,HMT-919,HMT-139,HMT-139,HMT-139,HMT-146,HMT-936,HMT-126,HMT-919,HMT-126,HMT-481,HMT-481,HMT-726,HMT-479,HMT-920,HMT-892,HMT-124,HMT-124,HMT-124,HMT-137,HMT-133,HMT-937","SUBP,SUPP","6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25","Reads equally close to C. periodontii, S. artemidis, S. dianae, S. infelix, and S. spp. HMT 126, 133, 137, 138, 146, 479, 481, 892, 919, 920, 936, and 937 were divided equally among taxa.","Selenomonas sp. HMT 138,Selenomonas infelix,Selenomonas sp. HMT 919,Selenomonas dianae,Selenomonas dianae,Selenomonas dianae,Selenomonas sp. HMT 146,Selenomonas sp. HMT 936,Selenomonas sp. HMT 126,Selenomonas sp. HMT 919,Selenomonas sp. HMT 126,Selenomonas sp. HMT 481,Selenomonas sp. HMT 481,Centipeda periodontii,Selenomonas sp. HMT 479,Selenomonas sp. HMT 920,Selenomonas sp. HMT 892,Selenomonas artemidis,Selenomonas artemidis,Selenomonas artemidis,Selenomonas sp. HMT 137,Selenomonas sp. HMT 133,Selenomonas sp. HMT 937","Clone: DS071,Strain: ATCC 43532,Strain: W7667,Clone: _Z048,Clone: DY027,Strain: ATCC 43527,Clone: EW084,Clone: ncd436f04c1,Clone: AJ036,Strain: W7667,Clone: EY047,Clone: IK004,Clone: 069096_081,Strain: DSM 2778,Clone: GT010,Strain: W5150,Strain: F0426,Strain: F0399,Clone: AA024,Strain: ATCC 43528,Clone: DS051,Clone: CS024,Clone: nck300f01c1","138DS071,639Sinfe,919WadeB,139_Z048,139DY027,139Sdian,146EW084,936_4994,126AJ036,919WadeA,126EY047,481IK004,481_4667,726_0963,479GT010,920-Wade,892F0426,124F0399,124AA024,124Sart,137DS051,133CS024,937_5618","AF366274,AF287802,tbd,GQ422719,AF385492,AF287801,AF385503,HM324994,AF287800,tbd,AF385576,AY349407,JQ454667,AJ010963,AY349405,tbd,tbd,HM596274,AF287797,GQ422716,AF366273,AF287796,KF105618","Unnamed,Named,Unnamed,Named,Named,Named,Lost,Phylotype,Unnamed,Unnamed,Unnamed,Lost,Lost,Named,Lost,Unnamed,Unnamed,Named,Named,Named,Unnamed,Unnamed,Phylotype",
V3V5_042_Firmicutes,Firmicutes,3,100,100,"HMT-478,HMT-478,HMT-136,HMT-136,HMT-149",SV,"33.3333,33.3333,33.3333","Reads equally close to S. sp. HMT 136, 149, and 478 were assigned one-third to each taxon.","Selenomonas sp. HMT 478,Selenomonas sp. HMT 478,Selenomonas sp. HMT 136,Selenomonas sp. HMT 136,Selenomonas sp. HMT 149","Clone: GI064,Strain: F0592,Clone: DO042,Clone: ncd2234b08c1,Clone: 070007_022","478GI064,478F0592,136DO042,136_3497,149_7169","AY349404,tbd,AF385514,JF193497,JQ457169","Unnamed,Unnamed,Unnamed,Unnamed,Unnamed",
V3V5_073_Firmicutes,Firmicutes,3,100,100,"HMT-125,HMT-125,HMT-388,HMT-130,HMT-130","SUBP,SUPP","33.3333,33.3333,33.3333","Reads equally close to S. flueggei, S. noxia, and S. sp. HMT 388 were assigned one-third to each taxon.","Selenomonas flueggei,Selenomonas flueggei,Selenomonas sp. HMT 388,Selenomonas noxia,Selenomonas noxia","Clone: ELU0080-000358,Clone: AH132,Clone: P4PA_36,Strain: ATCC 43541,Clone: CI002","125_6593,125AH132,388_8861,130Snoxi,130CI002","HQ776593,AF287804,AF538861,AF287799,AF287798","Named,Named,Phylotype,Named,Named",
